price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pctChange,changeCategory
323.5,326.769989,303.529999,305.5,18958600,305.5,8/17/2018,TSLA,-0.089283085,-0.089283085,1.09366492,U
291.700012,308.5,288.200012,308.440002,17402300,308.440002,8/20/2018,TSLA,0.009623574,0.009623574,0.678935743,U
310.609985,324.790009,309,321.899994,13172200,321.899994,8/21/2018,TSLA,0.043638931,0.043638931,-0.628289198,D
320.869995,323.880005,314.670013,321.640015,5946000,321.640015,8/22/2018,TSLA,-0.000807639,-0.000807639,-1.049929283,D
319.140015,327.320007,318.100006,320.100006,5147300,320.100006,8/23/2018,TSLA,-0.004787989,-0.004787989,-1.080645332,D
320.700012,323.850006,319.399994,322.820007,3602600,322.820007,8/24/2018,TSLA,0.008497348,0.008497348,-1.362400068,D
318,322.440002,308.809998,319.269989,13079300,319.269989,8/27/2018,TSLA,-0.010996896,-0.010996896,-1.98830387,D
318.410004,318.880005,311.190002,311.859985,7649100,311.859985,8/28/2018,TSLA,-0.023209209,-0.023209209,-2.084661131,D
310.269989,311.850006,303.690002,305.01001,7447400,305.01001,8/29/2018,TSLA,-0.021964905,-0.021964905,-1.640025745,D
302.26001,304.600006,297.720001,303.149994,7216700,303.149994,8/30/2018,TSLA,-0.006098213,-0.006098213,-2.786541188,D
302,305.309998,298.600006,301.660004,5375100,301.660004,8/31/2018,TSLA,-0.004915026,-0.004915026,-1.140008742,D
296.940002,298.190002,288,288.950012,8350500,288.950012,9/4/2018,TSLA,-0.042133501,-0.042133501,-0.679763879,D
285.049988,286.779999,277.179993,280.73999,7720800,280.73999,9/5/2018,TSLA,-0.028413295,-0.028413295,0.699830564,U
284.799988,291.170013,278.880005,280.950012,7480800,280.950012,9/6/2018,TSLA,0.000748101,0.000748101,0.604570091,U
260.100006,268.350006,252.25,263.23999,22491900,263.23999,9/7/2018,TSLA,-0.063036203,-0.063036203,2.251524986,U
273.26001,286.029999,271,285.5,14283500,285.5,9/10/2018,TSLA,0.084561658,0.084561658,0.646001403,U
279.470001,282,273.549988,279.440002,9170000,279.440002,9/11/2018,TSLA,-0.021225912,-0.021225912,0.38190925,E
281.440002,292.5,278.649994,290.540009,10015400,290.540009,9/12/2018,TSLA,0.039722327,0.039722327,0.580151656,E
288.019989,295,285.179993,289.459991,6340300,289.459991,9/13/2018,TSLA,-0.003717278,-0.003717278,0.604151152,U
288.76001,297.329987,286.519989,295.200012,6765600,295.200012,9/14/2018,TSLA,0.019830101,0.019830101,0.264189949,E
290.040009,300.869995,288.130005,294.839996,6887600,294.839996,9/17/2018,TSLA,-0.001219566,-0.001219566,0.327039721,E
296.690002,302.640015,275.5,284.959991,16547500,284.959991,9/18/2018,TSLA,-0.033509718,-0.033509718,1.07941278,U
280.51001,300,280.5,299.019989,8294900,299.019989,9/19/2018,TSLA,0.049340253,0.049340253,0.701389159,U
303.559998,305.980011,293.329987,298.329987,7349400,298.329987,9/20/2018,TSLA,-0.002307545,-0.002307545,0.607536508,U
297.700012,300.579987,295.369995,299.100006,5050500,299.100006,9/21/2018,TSLA,0.002581098,0.002581098,-2.312252838,D
298.480011,303,293.579987,299.679993,4843000,299.679993,9/24/2018,TSLA,0.001939107,0.001939107,0.737437437,U
300,304.600006,296.5,300.98999,4481700,300.98999,9/25/2018,TSLA,0.00437132,0.00437132,0.002005974,E
301.910004,313.890015,301.109985,309.579987,7843200,309.579987,9/26/2018,TSLA,0.028539145,0.028539145,-0.99172995,D
312.899994,314.959991,306.910004,307.519989,8509100,307.519989,9/27/2018,TSLA,-0.00665417,-0.00665417,-1.750954381,D
270.26001,278,260.559998,264.769989,33649700,264.769989,9/28/2018,TSLA,-0.139015354,-0.139015354,-0.197308124,E
305.769989,311.440002,301.049988,310.700012,21777600,310.700012,10/1/2018,TSLA,0.173471409,0.173471409,-4.243031019,D
313.950012,316.839996,299.149994,301.019989,11743500,301.019989,10/2/2018,TSLA,-0.031155528,-0.031155528,-2.77465893,D
303.329987,304.600006,291.570007,294.799988,7995000,294.799988,10/3/2018,TSLA,-0.020663083,-0.020663083,-2.828407169,D
